"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2023","85.96","87.60","87.85","85.63","25.63K","-2.05%"
"09/29/2023","87.76","88.73","89.08","87.40","35.64K","6.07%"
"09/28/2023","82.74","82.11","83.35","81.90","33.76K","-0.51%"
"09/27/2023","83.16","83.74","83.87","82.07","34.13K","-1.01%"
"09/26/2023","84.01","84.86","85.24","83.99","30.23K","-1.86%"
"09/25/2023","85.60","85.49","86.00","85.03","28.23K","-1.14%"
"09/22/2023","86.59","86.78","87.47","86.54","26.43K","0.63%"
"09/21/2023","86.05","86.70","87.17","86.05","50.60K","-2.68%"
"09/20/2023","88.42","88.52","89.75","88.34","29.89K","-0.28%"
"09/19/2023","88.67","88.11","88.77","87.50","22.30K","-1.96%"
"09/18/2023","90.44","91.39","91.49","90.16","23.77K","-2.32%"
"09/15/2023","92.59","92.28","92.94","91.84","42.29K","1.59%"
"09/14/2023","91.14","90.24","91.37","90.00","31.13K","-0.40%"
"09/13/2023","91.51","91.47","92.29","91.19","73.96K","-2.13%"
"09/12/2023","93.50","93.61","94.27","93.14","60.68K","-2.45%"
"09/11/2023","95.85","95.42","95.86","94.50","24.98K","1.86%"
"09/08/2023","94.10","94.69","94.88","93.80","28.23K","-0.24%"
"09/07/2023","94.33","94.61","94.89","93.15","41.55K","-3.43%"
"09/06/2023","97.68","98.20","98.48","97.04","16.08K","-0.30%"
"09/05/2023","97.97","99.01","99.07","97.39","29.22K","-1.83%"
"09/01/2023","99.80","100.58","100.73","99.60","14.59K","-0.37%"
"08/31/2023","100.17","99.91","101.07","99.72","14.26K","0.06%"
"08/30/2023","100.11","99.39","100.57","99.26","16.20K","1.16%"
"08/29/2023","98.96","97.24","99.16","97.17","15.76K","2.74%"
"08/28/2023","96.32","96.16","96.43","95.67","14.79K","0.84%"
"08/25/2023","95.52","95.55","96.89","94.75","14.54K","0.23%"
"08/24/2023","95.30","95.90","96.58","94.55","20.14K","-1.66%"
"08/23/2023","96.91","94.48","97.03","94.29","19.67K","-2.93%"
"08/22/2023","99.84","100.33","100.42","99.28","45.30K","-0.89%"
"08/21/2023","100.74","101.21","101.29","99.73","28.23K","0.79%"
"08/18/2023","99.95","99.21","100.23","98.75","18.21K","-0.08%"
"08/17/2023","100.03","102.35","102.40","99.84","26.17K","0.04%"
"08/16/2023","99.99","99.76","101.04","99.71","21.84K","2.24%"
"08/15/2023","97.80","98.44","98.51","97.46","18.45K","0.45%"
"08/14/2023","97.36","97.09","97.61","96.79","14.66K","-0.10%"
"08/11/2023","97.46","97.39","97.86","97.22","16.23K","-2.54%"
"08/10/2023","100.00","99.70","101.00","99.43","29.26K","2.75%"
"08/09/2023","97.32","98.32","98.44","96.99","37.29K","0.64%"
"08/08/2023","96.70","96.07","96.81","95.40","48.43K","-2.35%"
"08/07/2023","99.03","98.54","99.09","97.76","22.48K","0.16%"
"08/04/2023","98.87","99.30","100.49","98.80","42.48K","0.47%"
"08/03/2023","98.41","97.91","99.42","97.69","33.57K","0.55%"
"08/02/2023","97.87","97.88","98.29","97.23","24.67K","-2.31%"
"08/01/2023","100.18","100.49","101.05","99.85","23.45K","-1.03%"
"07/31/2023","101.22","101.85","102.23","101.13","30.03K","-0.60%"
"07/28/2023","101.83","101.56","102.63","101.38","19.85K","2.73%"
"07/27/2023","99.12","99.77","100.41","98.95","24.07K","0.48%"
"07/26/2023","98.65","98.08","98.92","97.99","57.84K","-1.11%"
"07/25/2023","99.76","101.56","101.85","99.66","250.81K","1.50%"
"07/24/2023","98.29","96.04","99.67","95.96","92.69K","2.45%"
"07/21/2023","95.94","95.73","96.24","95.53","16.28K","1.19%"
"07/20/2023","94.81","95.69","95.94","94.42","22.76K","-1.83%"
"07/19/2023","96.58","96.62","97.03","96.09","45.41K","-0.79%"
"07/18/2023","97.35","97.14","97.69","97.02","166.57K","0.16%"
"07/17/2023","97.19","96.97","97.39","96.40","14.46K","0.19%"
"07/14/2023","97.01","96.89","97.81","96.78","16.86K","-0.70%"
"07/13/2023","97.69","97.06","97.93","96.96","18.39K","0.91%"
"07/12/2023","96.81","96.06","97.18","95.67","18.01K","2.21%"
"07/11/2023","94.72","93.39","94.83","92.98","19.38K","2.73%"
"07/10/2023","92.20","91.16","92.35","91.09","34.33K","0.85%"
"07/07/2023","91.42","91.08","92.20","90.35","32.66K","1.48%"
"07/06/2023","90.09","89.82","90.37","88.94","73.02K","-5.01%"
"07/05/2023","94.84","96.34","96.46","94.54","33.05K","-2.03%"
"07/03/2023","96.81","95.89","96.83","95.75","12.52K","-0.54%"
"06/30/2023","97.34","96.81","97.84","96.50","28.69K","3.14%"
"06/29/2023","94.38","93.50","94.66","93.31","22.94K","0.24%"
"06/28/2023","94.15","95.18","95.59","93.66","37.88K","-1.57%"
"06/27/2023","95.65","94.98","95.81","94.74","38.63K","-0.98%"
"06/26/2023","96.60","95.84","97.01","95.75","38.82K","0.04%"
"06/23/2023","96.56","95.94","96.86","95.23","185.07K","-2.82%"
"06/22/2023","99.36","98.38","99.83","97.74","193.69K","2.03%"
"06/21/2023","97.38","95.66","97.89","95.22","311.79K","3.40%"
"06/20/2023","94.18","93.19","94.89","92.37","62.16K","-1.05%"
"06/16/2023","95.18","96.83","96.91","95.08","117.38K","-0.66%"
"06/15/2023","95.81","94.66","95.87","94.13","21.38K","1.31%"
"06/14/2023","94.57","93.98","95.13","93.50","25.06K","1.13%"
"06/13/2023","93.51","93.11","94.05","92.93","61.38K","2.25%"
"06/12/2023","91.45","90.86","91.45","90.24","38.99K","6.10%"
"06/09/2023","86.19","86.50","86.74","85.84","18.33K","0.41%"
"06/08/2023","85.84","85.57","86.16","85.31","20.54K","0.76%"
"06/07/2023","85.19","86.22","86.61","84.95","21.12K","-0.66%"
"06/06/2023","85.76","84.58","85.76","84.43","28.37K","0.85%"
"06/05/2023","85.04","85.39","85.65","84.48","133.39K","-0.87%"
"06/02/2023","85.79","85.59","86.00","85.01","47.45K","5.29%"
"06/01/2023","81.48","79.67","81.48","79.58","111.79K","0.04%"
"05/31/2023","81.45","81.69","81.80","80.56","76.59K","-2.14%"
"05/30/2023","83.23","84.06","84.23","82.93","56.42K","-0.22%"
"05/26/2023","83.41","83.21","83.79","82.75","20.41K","0.22%"
"05/25/2023","83.23","82.26","83.27","81.98","33.63K","0.69%"
"05/24/2023","82.66","84.18","84.32","82.49","56.44K","-3.13%"
"05/23/2023","85.33","86.47","86.65","85.23","18.54K","-2.66%"
